Month,Date,Time,System_V,Current_R_A,Current_Y_A,Current_B_A,pf,Notes,Temperature_C,Humidity_%,Precipitation_mm,Wind_Speed_mps,Solar_Radiation_Wm2
,8/3/2023,5:00 PM,432,350,395,349,0.98,,28,88,2.2,12.6,122
,8/3/2023,6:00 PM,433,244,252,271,0.98,,28.3,85,0,12.4,81
,8/3/2023,7:00 PM,425,347,204,377,0.98,,28,86,0,12,13
,8/3/2023,8:00 PM,436,260,150,197,0.99,,27.9,86,0,14.3,0
,8/3/2023,9:00 PM,432,222,150,313,0.99,,27.9,87,0,13.8,0
,8/3/2023,10:00 PM,437,150,153,168,0.99,,27.8,87,0,13.5,0
,8/3/2023,11:00 PM,425,214,266,245,0.98,,27.4,88,0,13.7,0
,8/3/2023,12:00 AM,428,155,386,150,0.98,,26.5,92,0.1,18.4,0
,8/3/2023,1:00 AM,432,160,174,204,0.98,,26.1,94,1.1,17.4,0
,8/3/2023,2:00 AM,437,150,153,236,0.99,,25.9,95,0.6,16.4,0
,8/3/2023,3:00 AM,433,198,160,150,0.99,,25.9,94,0.2,16.8,0
,8/3/2023,4:00 AM,428,223,154,151,0.98,,25.8,94,0,16.4,0
,8/3/2023,5:00 AM,434,204,178,172,0.98,,25.8,94,0.1,16.6,0
,8/3/2023,6:00 AM,429,263,194,212,0.98,,26.4,95,0.1,14.7,3
,8/3/2023,7:00 AM,432,157,263,233,0.98,,27.5,88,0,17.3,95
,8/3/2023,8:00 AM,435,263,393,364,0.98,,28.4,84,0.2,17.3,211
,8/4/2023,9:00 AM,427,227,194,271,0.99,,30,79,0,13.9,435
,8/4/2023,10:00 AM,425,366,364,349,0.99,,31,77,0.1,12.3,641
,8/4/2023,11:00 AM,426,378,296,180,0.99,,30.3,77,3.2,15.2,499
,8/4/2023,12:00 PM,427,424,324,345,0.99,,29,85,8.3,10.8,427
,8/4/2023,1:00 PM,429,343,404,283,0.98,,29.4,82,1.1,17.1,447
,8/4/2023,2:00 PM,427,436,304,341,0.98,,29.2,84,0.3,12,368
,8/4/2023,3:00 PM,429,298,373,278,0.98,,30.7,79,0.2,11.2,463
,8/4/2023,4:00 PM,428,284,245,312,0.98,,29.3,80,0.7,19.5,366
,8/4/2023,5:00 PM,437,232,279,296,0.99,,28.5,85,0.3,12.7,109
,8/4/2023,6:00 PM,425,306,364,278,0.98,,28.6,85,0.1,14.2,86
,8/4/2023,7:00 PM,430,371,239,369,0.99,,27.9,89,0,11.6,13
,8/4/2023,8:00 PM,435,275,231,364,0.99,,27.8,89,0,13.8,0
,8/4/2023,9:00 PM,431,272,287,277,0.98,,27.6,89,0,13.5,0
,8/4/2023,10:00 PM,428,150,244,275,0.99,,27.5,90,0,13.7,0
,8/4/2023,11:00 PM,427,174,208,319,0.99,,27.5,90,0,13.2,0
,8/4/2023,12:00 AM,437,185,249,238,0.99,,27.2,89,0,14,0
,8/4/2023,1:00 AM,426,151,264,222,0.98,,26.9,91,0,13.8,0
,8/4/2023,2:00 AM,429,150,258,219,0.98,,26.6,91,0.2,16.5,0
,8/4/2023,3:00 AM,431,152,150,243,0.99,,25.9,92,0,14.3,0
,8/4/2023,4:00 AM,432,153,256,193,0.99,,25.8,94,0,12,0
,8/4/2023,5:00 AM,431,173,150,169,0.98,,25.7,95,0,13.4,0
,8/4/2023,6:00 AM,433,150,342,156,0.99,,26.4,92,0,11.2,9
,8/4/2023,7:00 AM,427,278,196,348,0.99,,27.6,88,0,13.5,104
,8/4/2023,8:00 AM,435,277,295,311,0.98,,29,82,0,14.8,292
,8/5/2023,9:00 AM,425,219,300,267,0.98,,28.3,86,2.8,16.4,288
,8/5/2023,10:00 AM,433,241,239,312,0.98,,30.4,79,0.1,14.7,546
,8/5/2023,11:00 AM,431,450,307,266,0.99,,32.2,72,0.1,14.2,823
,8/5/2023,12:00 PM,427,344,363,340,0.99,,33.2,64,0.1,15.4,844
,8/5/2023,1:00 PM,431,445,333,357,0.99,,30.9,73,0.2,16.2,314
,8/5/2023,2:00 PM,432,328,408,295,0.98,,30.3,77,1,17.4,565
,8/5/2023,3:00 PM,427,377,420,356,0.99,,30.9,72,0.2,21.6,612
,8/5/2023,4:00 PM,426,290,254,197,0.98,,29.3,83,2,12.3,383
,8/5/2023,5:00 PM,427,321,450,384,0.98,,29.2,83,0.1,17.1,194
,8/5/2023,6:00 PM,437,274,254,382,0.98,,28.3,88,0,8.3,103
,8/5/2023,7:00 PM,430,181,312,267,0.98,,27.9,89,0.1,12,14
,8/5/2023,8:00 PM,425,310,271,373,0.98,,27.5,90,0.1,12.1,0
,8/5/2023,9:00 PM,433,277,150,389,0.98,,27.3,91,0,12.6,0
,8/5/2023,10:00 PM,432,248,157,324,0.99,,27.4,92,0,14.5,0
,8/5/2023,11:00 PM,430,200,242,193,0.99,,27.3,90,0.1,13.4,0
,8/5/2023,12:00 AM,425,150,157,298,0.99,,27.5,89,0,13,0
,8/5/2023,1:00 AM,433,152,323,150,0.98,,27.5,87,0,13.2,0
,8/5/2023,2:00 AM,431,186,150,169,0.98,,27.3,87,0,12.8,0
,8/5/2023,3:00 AM,435,176,182,150,0.98,,27.4,86,0,12.5,0
,8/5/2023,4:00 AM,429,188,150,182,0.99,,27.2,87,0,12.1,0
,8/5/2023,5:00 AM,434,155,253,150,0.98,,27.2,88,0,12.2,0
,8/5/2023,6:00 AM,426,150,187,211,0.99,,27,92,0,9.7,6
,8/5/2023,7:00 AM,432,231,298,150,0.99,,28.2,86,0,12.2,119
,8/5/2023,8:00 AM,434,184,347,293,0.98,,29.3,79,0.2,16.7,287
,8/6/2023,9:00 AM,433,433,309,312,0.98,,28.8,83,0.1,15.9,267
,8/6/2023,10:00 AM,427,364,259,319,0.98,,28.8,83,0.4,18.4,337
,8/6/2023,11:00 AM,432,352,399,300,0.98,,28.9,86,1.5,16.5,336
,8/6/2023,12:00 PM,427,316,367,389,0.98,,28.6,85,3.5,20.4,373
,8/6/2023,1:00 PM,434,431,376,450,0.98,,27.9,90,3.5,20.1,289
,8/6/2023,2:00 PM,426,243,447,390,0.98,,28.4,88,1.6,18.4,246
,8/6/2023,3:00 PM,432,275,450,351,0.99,,28.1,88,1.2,20.8,215
,8/6/2023,4:00 PM,433,361,347,283,0.99,,28.6,86,0.2,17.7,169
,8/6/2023,5:00 PM,437,402,425,290,0.98,,28.9,84,0.2,16.9,245
,8/6/2023,6:00 PM,430,300,368,192,0.99,,27.5,91,0.5,11.1,91
,8/6/2023,7:00 PM,431,254,214,177,0.99,,27.3,93,0.3,10,5
,8/6/2023,8:00 PM,430,169,150,272,0.99,,26.7,94,0.9,10.4,0
,8/6/2023,9:00 PM,426,218,227,150,0.99,,26.6,94,0.4,10.1,0
,8/6/2023,10:00 PM,430,274,150,151,0.99,,26.5,95,0.2,12.3,0
,8/6/2023,11:00 PM,437,150,199,262,0.98,,26.4,95,2.2,10.5,0
,8/6/2023,12:00 AM,427,153,150,258,0.98,,26.5,93,1,12.6,0
,8/6/2023,1:00 AM,428,150,165,156,0.98,,26.1,96,1.4,9.2,0
,8/6/2023,2:00 AM,431,158,262,153,0.99,,26.1,95,0.4,9.7,0
,8/6/2023,3:00 AM,426,173,179,150,0.98,,26,95,1.2,11.2,0
,8/6/2023,4:00 AM,433,214,150,151,0.98,,25.7,96,3.5,12.1,0
,8/6/2023,5:00 AM,435,150,155,156,0.99,,26.1,96,0.3,12.7,0
,8/6/2023,6:00 AM,431,178,241,150,0.99,,26.4,95,0.2,8.8,2
,8/6/2023,7:00 AM,435,270,227,179,0.98,,27.7,88,0.1,13.5,100
,8/6/2023,8:00 AM,429,354,323,293,0.99,,28.2,86,0.2,15.7,212
,8/7/2023,9:00 AM,433,313,200,368,0.98,,26.2,95,2.5,13.4,52
,8/7/2023,10:00 AM,435,386,271,373,0.98,,26.2,95,3,14.4,129
,8/7/2023,11:00 AM,429,347,350,334,0.98,,26.2,96,1.6,10,63
,8/7/2023,12:00 PM,430,450,162,396,0.99,,26.8,94,2.4,10,116
,8/7/2023,1:00 PM,425,321,284,450,0.99,,27.6,91,2.3,8.7,135
,8/7/2023,2:00 PM,435,357,435,349,0.99,,28.3,87,0.8,12.6,309
,8/7/2023,3:00 PM,430,302,450,341,0.98,,28.7,87,0.6,10.7,264
,8/7/2023,4:00 PM,427,278,387,326,0.99,,27.5,94,3.3,8.7,194
,8/7/2023,5:00 PM,435,337,413,291,0.98,,26.9,93,3.8,13.8,60
,8/7/2023,6:00 PM,427,306,283,348,0.98,,26.6,94,1.6,11.9,27
,8/7/2023,7:00 PM,433,370,271,314,0.98,,26.4,94,4.6,14.2,1
,8/7/2023,8:00 PM,430,188,270,277,0.99,,25.9,95,2.4,13,0
,8/7/2023,9:00 PM,425,286,204,242,0.99,,25.7,95,0.9,13,0
,8/7/2023,10:00 PM,429,328,206,150,0.98,,25.9,95,0.3,9.4,0
,8/7/2023,11:00 PM,432,224,150,250,0.98,,25.9,96,0.5,7.9,0
,8/7/2023,12:00 AM,435,150,160,241,0.99,,26.4,96,5.3,8.2,0
,8/7/2023,1:00 AM,434,205,251,233,0.98,,25.8,97,5.6,7.9,0
,8/7/2023,2:00 AM,433,150,160,215,0.99,,25.4,98,3.3,8.4,0
,8/7/2023,3:00 AM,432,161,234,156,0.98,,25.6,97,0.8,7.7,0
,8/7/2023,4:00 AM,434,245,248,220,0.98,,25.7,97,1.2,8,0
,8/7/2023,5:00 AM,435,171,150,255,0.99,,26,97,0.2,8.9,0
,8/7/2023,6:00 AM,425,220,300,286,0.99,,26.3,96,0.3,13.3,2
,8/7/2023,7:00 AM,429,288,230,306,0.99,,25.4,98,4.3,16.3,29
,8/7/2023,8:00 AM,430,277,342,240,0.99,,25.8,97,4,10.2,58
,8/8/2023,9:00 AM,437,275,268,387,0.99,,27.3,90,1.7,15.8,121
,8/8/2023,10:00 AM,428,289,296,231,0.98,,27,91,3,14.2,76
,8/8/2023,11:00 AM,426,286,330,347,0.99,,27.8,90,0.9,12.8,149
,8/8/2023,12:00 PM,427,402,329,339,0.99,,29.2,83,0.2,19,379
,8/8/2023,1:00 PM,426,372,360,380,0.99,,29.2,80,1.5,16.4,339
,8/8/2023,2:00 PM,437,311,315,322,0.98,,28.5,85,2.5,13.3,318
,8/8/2023,3:00 PM,428,414,435,307,0.98,,28.9,83,0.3,13.1,338
,8/8/2023,4:00 PM,432,299,373,345,0.98,,29.5,81,0.1,14.4,333
,8/8/2023,5:00 PM,437,429,282,297,0.99,,27.1,89,3.5,10.1,133
,8/8/2023,6:00 PM,432,337,428,286,0.98,,26.7,94,0.2,8,104
,8/8/2023,7:00 PM,425,236,277,391,0.98,,26.3,96,0,5.5,11
,8/8/2023,8:00 PM,431,261,339,419,0.98,,26.4,95,0,9,0
,8/8/2023,9:00 PM,429,290,271,341,0.99,,26.3,96,0,9,0
,8/8/2023,10:00 PM,428,245,282,260,0.99,,26.3,96,0,9.4,0
,8/8/2023,11:00 PM,427,228,260,186,0.99,,26.2,96,0,8.3,0
,8/8/2023,12:00 AM,430,150,231,215,0.98,,26.1,95,0.4,10.2,0
,8/8/2023,1:00 AM,429,158,154,156,0.98,,26.1,95,0.9,12.6,0
,8/8/2023,2:00 AM,430,237,151,175,0.99,,25.9,95,2.1,13.7,0
,8/8/2023,3:00 AM,435,150,169,157,0.99,,25.7,95,3.1,12.8,0
,8/8/2023,4:00 AM,425,175,189,261,0.98,,25.9,95,0.9,14.6,0
,8/8/2023,5:00 AM,433,172,259,181,0.99,,25.9,96,0.5,14,0
,8/8/2023,6:00 AM,429,166,257,236,0.99,,26.6,95,0.2,13.2,2
,8/8/2023,7:00 AM,428,337,172,177,0.99,,26.9,93,1.9,14.6,31
,8/8/2023,8:00 AM,434,277,258,331,0.98,,27.2,91,1,16.9,81
,8/9/2023,9:00 AM,433,295,315,283,0.99,,29.7,79,0,13.7,498
,8/9/2023,10:00 AM,432,342,354,256,0.99,,30.9,76,0,13.1,669
,8/9/2023,11:00 AM,430,252,239,370,0.98,,32.1,70,0,12.3,775
,8/9/2023,12:00 PM,432,369,278,398,0.98,,31.7,70,0,13,601
,8/9/2023,1:00 PM,431,347,342,276,0.98,,31.8,68,0.1,13.3,586
,8/9/2023,2:00 PM,437,254,399,398,0.99,,31.8,67,0.2,12.6,707
,8/9/2023,3:00 PM,427,340,342,271,0.99,,32.1,66,0,11.5,599
,8/9/2023,4:00 PM,434,319,334,345,0.98,,31.4,67,0,14.1,494
,8/9/2023,5:00 PM,430,281,256,304,0.99,,29.8,76,0,13.4,299
,8/9/2023,6:00 PM,433,263,334,384,0.99,,28.8,83,0,4.3,108
,8/9/2023,7:00 PM,431,241,325,304,0.99,,27.8,88,0,5.4,9
,8/9/2023,8:00 PM,433,325,227,344,0.99,,27.3,91,0,7.9,0
,8/9/2023,9:00 PM,437,186,340,239,0.98,,26.8,94,0,6.8,0
,8/9/2023,10:00 PM,429,190,237,242,0.98,,26.8,93,0,8.3,0
,8/9/2023,11:00 PM,430,321,304,219,0.99,,26.6,93,0,7,0
,8/9/2023,12:00 AM,431,211,150,159,0.98,,26.1,97,0,9.8,0
,8/9/2023,1:00 AM,432,206,151,265,0.98,,26,97,0,9,0
,8/9/2023,2:00 AM,425,350,187,325,0.99,,25.9,97,0.1,8.7,0
,8/9/2023,3:00 AM,430,150,259,262,0.99,,25.9,97,0,9.3,0
,8/9/2023,4:00 AM,435,155,155,241,0.98,,25.8,97,0,9.5,0
,8/9/2023,5:00 AM,432,151,196,156,0.98,,25.6,97,0,10.3,0
,8/9/2023,6:00 AM,430,306,150,322,0.99,,25.7,94,0,8.8,4
,8/9/2023,7:00 AM,432,202,188,150,0.99,,26.4,91,0,8.7,89
,8/9/2023,8:00 AM,437,188,237,299,0.98,,28.2,85,0,10,308
,8/10/2023,9:00 AM,425,258,424,260,0.98,,30.2,80,0,10,479
,8/10/2023,10:00 AM,426,350,322,268,0.98,,31.2,76,0,9.8,629
,8/10/2023,11:00 AM,436,236,365,198,0.99,,32.1,71,0.1,9.4,748
,8/10/2023,12:00 PM,434,408,332,441,0.99,,32.2,69,0.1,10.3,693
,8/10/2023,1:00 PM,429,322,359,320,0.98,,31.6,72,0.1,9.8,536
,8/10/2023,2:00 PM,428,450,400,319,0.98,,31.2,69,0.4,12,563
,8/10/2023,3:00 PM,434,363,407,163,0.99,,30.9,73,0.1,9.2,401
,8/10/2023,4:00 PM,430,398,264,370,0.98,,31.5,72,0,10.8,414
,8/10/2023,5:00 PM,428,436,309,335,0.99,,30.4,75,0.1,14.8,288
,8/10/2023,6:00 PM,432,306,321,446,0.98,,29.6,78,0,6.7,80
,8/10/2023,7:00 PM,431,343,351,353,0.99,,28.4,84,0,7.2,11
,8/10/2023,8:00 PM,426,360,187,281,0.98,,28,87,0,10.1,0
,8/10/2023,9:00 PM,430,247,248,253,0.99,,27.6,89,0,9.5,0
,8/10/2023,10:00 PM,432,195,272,283,0.98,,27.5,90,0,9.8,0
,8/10/2023,11:00 PM,433,234,173,277,0.98,,27.4,91,0,10.5,0
,8/10/2023,12:00 AM,431,164,176,150,0.98,,26.2,94,0,6.8,0
,8/10/2023,1:00 AM,437,150,155,151,0.98,,26,95,0,5.7,0
,8/10/2023,2:00 AM,425,167,150,192,0.98,,25.7,97,0,4.5,0
,8/10/2023,3:00 AM,426,150,164,230,0.98,,25.6,97,0,6.5,0
,8/10/2023,4:00 AM,430,153,175,150,0.98,,25.6,98,0,5.4,0
,8/10/2023,5:00 AM,434,233,260,180,0.99,,25.6,99,0,5.5,0
,8/10/2023,6:00 AM,430,150,309,203,0.98,,26.5,98,0,7.7,6
,8/10/2023,7:00 AM,429,219,275,390,0.99,,27.5,93,0,11.4,104
,8/10/2023,8:00 AM,431,420,336,288,0.98,,28.8,85,0.1,9.6,286
,8/11/2023,9:00 AM,432,293,303,378,0.98,,29.7,80,0,12,470
,8/11/2023,10:00 AM,433,371,271,263,0.98,,30.4,78,0,8.9,536
,8/11/2023,11:00 AM,429,401,267,336,0.99,,30.8,77,0.1,10.1,547
,8/11/2023,12:00 PM,432,377,418,314,0.98,,32.2,70,0.1,10,704
,8/11/2023,1:00 PM,431,365,244,373,0.99,,29.6,82,4.8,10.5,414
,8/11/2023,2:00 PM,427,376,407,386,0.99,,30.8,78,0.2,6.6,444
,8/11/2023,3:00 PM,430,275,313,306,0.98,,31.9,74,0.2,10.1,626
,8/11/2023,4:00 PM,435,253,341,266,0.98,,31,72,0.2,13.4,476
,8/11/2023,5:00 PM,433,250,369,238,0.99,,30.1,80,0.3,10.2,226
,8/11/2023,6:00 PM,425,260,420,403,0.98,,28.8,85,0,13,108
,8/11/2023,7:00 PM,432,352,324,263,0.98,,27.6,86,0,10.9,9
,8/11/2023,8:00 PM,434,330,374,157,0.98,,27,87,0,10.2,0
,8/11/2023,9:00 PM,435,150,308,214,0.98,,26.9,89,0,7.9,0
,8/11/2023,10:00 PM,431,151,263,314,0.99,,27,90,0,8.3,0
,8/11/2023,11:00 PM,426,150,237,313,0.98,,26.8,93,0,9.2,0
,8/11/2023,12:00 AM,437,180,150,154,0.99,,27.2,91,0,10.8,0
,8/11/2023,1:00 AM,427,172,270,151,0.99,,26.9,92,0.6,11.3,0
,8/11/2023,2:00 AM,426,150,156,157,0.99,,26.3,95,1.4,12.7,0
,8/11/2023,3:00 AM,428,177,213,151,0.99,,26.1,95,0.7,11.1,0
,8/11/2023,4:00 AM,435,206,226,150,0.98,,26,95,0.2,9.3,0
,8/11/2023,5:00 AM,425,205,150,158,0.99,,25.6,96,5.9,7.8,0
,8/11/2023,6:00 AM,437,231,301,151,0.99,,26.5,94,5,8.9,3
,8/11/2023,7:00 AM,429,314,281,282,0.98,,27.2,90,0.1,14.2,80
,8/11/2023,8:00 AM,430,201,250,208,0.99,,28.4,85,0,11.9,282
,8/12/2023,9:00 AM,431,307,282,309,0.99,,28.5,86,0.1,14.7,276
,8/12/2023,10:00 AM,429,275,349,158,0.99,,30.2,83,0.2,12.2,579
,8/12/2023,11:00 AM,430,272,365,335,0.98,,29.4,82,6.4,12.8,424
,8/12/2023,12:00 PM,428,320,384,346,0.98,,29.2,84,0.4,7.7,391
,8/12/2023,1:00 PM,425,256,263,367,0.98,,29.8,82,0.3,6.9,444
,8/12/2023,2:00 PM,427,388,439,312,0.98,,31.2,78,0.3,10.1,643
,8/12/2023,3:00 PM,428,324,317,353,0.99,,28.7,85,1.5,14.9,591
,8/12/2023,4:00 PM,431,358,409,391,0.98,,29.6,80,0.3,12.9,416
,8/12/2023,5:00 PM,425,378,233,308,0.98,,29,81,0.1,12.5,247
,8/12/2023,6:00 PM,426,329,346,261,0.98,,29.6,84,0,9.3,82
,8/12/2023,7:00 PM,432,362,215,315,0.98,,28,90,0,13.7,9
,8/12/2023,8:00 PM,435,287,332,254,0.98,,27.1,91,0,12.4,0
,8/12/2023,9:00 PM,434,150,155,227,0.98,,27.1,93,0,11.5,0
,8/12/2023,10:00 PM,433,275,244,272,0.99,,26.9,95,1.5,9.5,0
,8/12/2023,11:00 PM,432,185,222,202,0.99,,26.6,96,3.4,6.8,0
,8/12/2023,12:00 AM,430,223,150,173,0.99,,26.7,95,0,10.5,0
,8/12/2023,1:00 AM,427,150,191,152,0.99,,26.6,95,0,10,0
,8/12/2023,2:00 AM,430,158,159,232,0.99,,26.4,97,0,9.7,0
,8/12/2023,3:00 AM,427,238,150,157,0.99,,26.4,94,0.3,11.8,0
,8/12/2023,4:00 AM,435,150,155,182,0.98,,25.4,96,1.3,13.6,0
,8/12/2023,5:00 AM,433,253,153,150,0.99,,25.4,95,0.1,13.4,0
,8/12/2023,6:00 AM,427,267,206,161,0.98,,25.9,95,0,11.4,4
,8/12/2023,7:00 AM,426,240,299,243,0.99,,25.9,97,1.1,10.4,65
,8/12/2023,8:00 AM,432,286,213,258,0.98,,26.7,91,1.1,14.6,128
,8/13/2023,9:00 AM,425,355,264,250,0.99,,27.1,92,0.5,11.1,153
,8/13/2023,10:00 AM,433,295,314,361,0.98,,29.3,84,0.3,10.2,505
,8/13/2023,11:00 AM,432,232,251,370,0.98,,30.4,80,0.1,6.6,632
,8/13/2023,12:00 PM,431,334,319,291,0.99,,31.2,74,0.2,2.8,630
,8/13/2023,1:00 PM,437,368,370,307,0.98,,31.5,72,0.1,1.8,362
,8/13/2023,2:00 PM,430,291,234,399,0.99,,30.4,76,0.1,10,262
,8/13/2023,3:00 PM,427,357,408,355,0.98,,28.7,83,0.6,9.7,321
,8/13/2023,4:00 PM,430,412,348,365,0.99,,28.4,84,0.1,6.9,241
,8/13/2023,5:00 PM,427,284,344,372,0.99,,27.1,91,1.1,11.3,118
,8/13/2023,6:00 PM,426,323,374,236,0.99,,28.5,84,1.5,4.9,36
,8/13/2023,7:00 PM,430,280,228,320,0.98,,27.6,89,0,4.1,9
,8/13/2023,8:00 PM,432,209,234,307,0.98,,27.2,93,0,3.2,0
,8/13/2023,9:00 PM,437,203,242,285,0.98,,27.1,94,0,4.6,0
,8/13/2023,10:00 PM,425,150,292,175,0.99,,26.7,96,0,2.6,0
,8/13/2023,11:00 PM,428,203,290,316,0.99,,26.8,96,0.1,2.1,0
,8/13/2023,12:00 AM,435,271,276,150,0.99,,26.3,97,1.6,9.9,0
,8/13/2023,1:00 AM,434,218,173,249,0.98,,26.3,97,2.4,6.2,0
,8/13/2023,2:00 AM,429,150,155,194,0.98,,26.2,98,0.5,8.2,0
,8/13/2023,3:00 AM,431,195,282,150,0.98,,25.9,97,2.5,8.2,0
,8/13/2023,4:00 AM,432,233,150,238,0.98,,25.9,98,1,7.9,0
,8/13/2023,5:00 AM,425,195,150,154,0.98,,25.9,98,0.3,8.7,0
,8/13/2023,6:00 AM,434,174,152,150,0.98,,26,97,0.1,11,5
,8/13/2023,7:00 AM,431,264,213,253,0.98,,26.3,94,0.3,9.2,37
,8/13/2023,8:00 AM,427,269,325,213,0.98,,26.7,94,1.4,11.3,109
,8/14/2023,9:00 AM,426,181,266,341,0.99,,29.4,83,0,5.5,442
,8/14/2023,10:00 AM,430,322,283,194,0.99,,30.8,76,0.2,4.7,656
,8/14/2023,11:00 AM,435,288,322,317,0.99,,31,73,0.2,4.7,507
,8/14/2023,12:00 PM,437,412,318,376,0.99,,30.7,74,0.1,3.9,299
,8/14/2023,1:00 PM,432,349,378,306,0.98,,31.3,74,0.3,5.2,437
,8/14/2023,2:00 PM,426,368,341,298,0.98,,31,76,0.2,5.4,392
,8/14/2023,3:00 PM,432,450,408,201,0.99,,31.1,77,0.2,7.8,357
,8/14/2023,4:00 PM,436,252,368,317,0.99,,28.8,84,3.1,11.5,278
,8/14/2023,5:00 PM,432,268,308,313,0.98,,29.4,82,0.2,4.6,222
,8/14/2023,6:00 PM,435,246,362,278,0.99,,28.1,87,0,1.8,108
,8/14/2023,7:00 PM,431,278,279,370,0.99,,27.6,90,0,3.1,10
